Date,Day,"Total Cases, Guinea","Total Deaths, Guinea","Total Cases, Liberia","Total Deaths, Liberia","Total Cases, Sierra Leone","Total Deaths, Sierra Leone",Confirmed,Deaths,
3/25/2014,0,86,59,0,0,0,0,86,59,
3/26/2014,1,86,60,0,0,0,0,86,60,
3/27/2014,2,103,66,8,6,6,5,117,77,
3/31/2014,6,112,70,8,6,0,0,120,76,
4/1/2014,7,122,80,8,2,0,0,130,82,
4/2/2014,8,127,83,8,5,0,0,135,88,
4/7/2014,13,151,95,18,7,0,0,169,102,
4/10/2014,16,157,101,22,14,0,0,179,115,
4/17/2014,23,197,122,27,13,0,0,224,135,
4/21/2014,27,203,129,27,13,0,0,230,142,
4/23/2014,29,208,136,34,11,0,0,242,147,
4/30/2014,36,221,146,13,11,0,0,234,157,
5/5/2014,41,231,155,13,11,0,0,244,166,
5/14/2014,50,233,157,12,11,0,0,245,168,
5/23/2014,59,258,174,12,9,0,0,270,183,
5/27/2014,63,258,174,12,9,1,4,271,187,
5/28/2014,64,281,186,12,9,16,5,309,200,
6/2/2014,69,291,193,13,9,50,6,354,208,
6/5/2014,72,344,215,13,9,81,7,438,231,
6/10/2014,77,372,236,15,10,89,7,476,253,
6/11/2014,78,376,241,15,10,117,19,508,270,
6/18/2014,85,398,264,33,24,97,49,528,337,
6/24/2014,91,390,270,51,34,158,34,599,338,
7/2/2014,99,413,303,107,65,239,99,759,467,
7/7/2014,104,412,305,115,75,252,101,779,481,
7/8/2014,105,408,307,131,84,305,127,844,518,
7/14/2014,111,409,309,142,88,337,142,888,539,
7/16/2014,113,406,304,172,105,386,192,964,601,
7/21/2014,118,410,310,196,116,442,206,1048,632,
7/24/2014,121,415,314,224,127,454,219,1093,660,
7/28/2014,125,427,319,249,129,525,224,1201,672,
7/31/2014,128,460,339,329,156,533,233,1322,728,
8/3/2014,131,472,346,391,227,574,252,1437,825,
8/4/2014,132,485,358,486,255,646,273,1617,886,
8/8/2014,136,495,367,554,294,717,298,1766,959,
8/12/2014,140,506,373,599,323,730,315,1835,1011,
8/13/2014,141,510,377,670,355,783,334,1963,1066,
8/15/2014,143,519,380,786,348,810,348,2115,1076,
8/19/2014,147,543,394,834,466,848,365,2225,1225,
8/21/2014,149,579,396,972,576,907,374,2458,1346,
8/22/2014,150,607,406,1082,624,910,392,2599,1422,
8/28/2014,156,648,430,1378,694,1026,422,3052,1546,
9/6/2014,165,812,517,1871,1089,1261,491,3944,2097,
9/8/2014,167,862,555,2046,1224,1361,509,4269,2288,
